0,,,
timestamp,,,
out.district_cooling.cooling.energy_consumption,区域制冷,制冷,
out.district_heating.heating.energy_consumption,区域制热,制热,
out.district_heating.water_systems.energy_consumption,区域制热,水系统,
out.electricity.cooling.energy_consumption,电,制冷,
out.electricity.exterior_lighting.energy_consumption,电,室外照明,
out.electricity.fans.energy_consumption,电,风扇,
out.electricity.heat_recovery.energy_consumption,电,热量回收,
out.electricity.heat_rejection.energy_consumption,电,排热,
out.electricity.heating.energy_consumption,电,制热,
out.electricity.interior_equipment.energy_consumption,电,室内设施,
out.electricity.interior_lighting.energy_consumption,电,室内照明,
out.electricity.pumps.energy_consumption,电,水泵,
out.electricity.refrigeration.energy_consumption,电,冰箱,
out.electricity.water_systems.energy_consumption,电,水系统,
out.natural_gas.heating.energy_consumption,天然气,制热,
out.natural_gas.interior_equipment.energy_consumption,天然气,室内设施,
out.natural_gas.water_systems.energy_consumption,天然气,水系统,
out.district_cooling.total.energy_consumption,区域制冷,全部,
out.district_heating.total.energy_consumption,区域制热,全部,
out.electricity.total.energy_consumption,电,全部,
out.natural_gas.total.energy_consumption,天然气,全部,
out.district_heating.cooling.energy_consumption,区域制热,制冷,
out.other_fuel.cooling.energy_consumption,其他燃料,制冷,
out.other_fuel.heating.energy_consumption,其他燃料,制热,
out.other_fuel.total.energy_consumption,其他燃料,全部,
out.other_fuel.water_systems.energy_consumption,其他燃料,水系统,
out.site_energy.total.energy_consumption,现场能量？,全部,
out.district_cooling.cooling.energy_consumption_intensity,区域制冷,制冷,能源强度
out.district_heating.heating.energy_consumption_intensity,区域制热,制热,能源强度
out.district_heating.water_systems.energy_consumption_intensity,区域制热,水系统,能源强度
out.electricity.cooling.energy_consumption_intensity,电,制冷,能源强度
out.electricity.exterior_lighting.energy_consumption_intensity,电,室外照明,能源强度
out.electricity.fans.energy_consumption_intensity,电,风扇,能源强度
out.electricity.heat_recovery.energy_consumption_intensity,电,热量回收,能源强度
out.electricity.heat_rejection.energy_consumption_intensity,电,排热,能源强度
out.electricity.heating.energy_consumption_intensity,电,制热,能源强度
out.electricity.interior_equipment.energy_consumption_intensity,电,室内设施,能源强度
out.electricity.interior_lighting.energy_consumption_intensity,电,室内照明,能源强度
out.electricity.pumps.energy_consumption_intensity,电,水泵,能源强度
out.electricity.refrigeration.energy_consumption_intensity,电,冰箱,能源强度
out.electricity.water_systems.energy_consumption_intensity,电,水系统,能源强度
out.natural_gas.heating.energy_consumption_intensity,天然气,制热,能源强度
out.natural_gas.interior_equipment.energy_consumption_intensity,天然气,室内设施,能源强度
out.natural_gas.water_systems.energy_consumption_intensity,天然气,水系统,能源强度
out.district_cooling.total.energy_consumption_intensity,区域制冷,全部,能源强度
out.district_heating.total.energy_consumption_intensity,区域制热,全部,能源强度
out.electricity.total.energy_consumption_intensity,电,全部,能源强度
out.natural_gas.total.energy_consumption_intensity,天然气,全部,能源强度
out.district_heating.cooling.energy_consumption_intensity,区域制热,制冷,能源强度
out.other_fuel.cooling.energy_consumption_intensity,其他燃料,制冷,能源强度
out.other_fuel.heating.energy_consumption_intensity,其他燃料,制热,能源强度
out.other_fuel.total.energy_consumption_intensity,其他燃料,全部,能源强度
out.other_fuel.water_systems.energy_consumption_intensity,其他燃料,水系统,能源强度
out.site_energy.total.energy_consumption_intensity,现场能量？,全部,能源强度
bldg_id,建筑id,,
state,所属州,,
